FLIGHT,ORIGIN,DEST,DEP_TIME,ARR_TIME,DISTANCE
1-BOS-JFK,BOS,JFK,2016-09-01 06:00:00,2016-09-01 07:15:00,187.0
40-BOS-ORD,BOS,ORD,2016-09-01 19:12:00,2016-09-01 22:02:00,867.0
147-BOS-LAX,BOS,LAX,2016-09-01 15:15:00,2016-09-01 21:45:00,2611.0
197-BOS-ORD,BOS,ORD,2016-09-01 15:30:00,2016-09-01 18:24:00,867.0
198-BOS-JFK,BOS,JFK,2016-09-01 13:10:00,2016-09-01 14:31:00,187.0
85-BOS-JFK,BOS,JFK,2016-09-01 17:35:00,2016-09-01 19:02:00,187.0
252-BOS-ORD,BOS,ORD,2016-09-01 14:10:00,2016-09-01 17:01:00,867.0
333-BOS-LAX,BOS,LAX,2016-09-01 12:38:00,2016-09-01 19:05:00,2611.0
1086-BOS-MIA,BOS,MIA,2016-09-01 16:55:00,2016-09-01 20:30:00,1258.0
1094-BOS-DFW,BOS,DFW,2016-09-01 17:56:00,2016-09-01 22:18:00,1562.0
307-BOS-PHX,BOS,PHX,2016-09-01 10:00:00,2016-09-01 15:40:00,2300.0
1155-BOS-ORD,BOS,ORD,2016-09-01 06:00:00,2016-09-01 08:50:00,867.0
1172-BOS-MIA,BOS,MIA,2016-09-01 09:30:00,2016-09-01 13:00:00,1258.0
1211-BOS-DFW,BOS,DFW,2016-09-01 13:00:00,2016-09-01 17:20:00,1562.0
1274-BOS-MIA,BOS,MIA,2016-09-01 08:00:00,2016-09-01 11:29:00,1258.0
166-BOS-LAX,BOS,LAX,2016-09-01 09:15:00,2016-09-01 15:44:00,2611.0
175-BOS-DFW,BOS,DFW,2016-09-01 06:00:00,2016-09-01 10:22:00,1562.0
1435-BOS-ORD,BOS,ORD,2016-09-01 09:00:00,2016-09-01 11:51:00,867.0
1404-BOS-ORD,BOS,ORD,2016-09-01 07:00:00,2016-09-01 09:58:00,867.0
1503-BOS-ORD,BOS,ORD,2016-09-01 17:26:00,2016-09-01 20:20:00,867.0
1509-BOS-MIA,BOS,MIA,2016-09-01 11:07:00,2016-09-01 14:43:00,1258.0
1240-BOS-ORD,BOS,ORD,2016-09-01 12:15:00,2016-09-01 15:05:00,867.0
223-BOS-LAX,BOS,LAX,2016-09-01 18:22:00,2016-09-02 00:56:00,2611.0
1006-BOS-MIA,BOS,MIA,2016-09-01 15:15:00,2016-09-01 18:43:00,1258.0
1039-BOS-JFK,BOS,JFK,2016-09-01 08:50:00,2016-09-01 10:13:00,187.0
2303-BOS-DFW,BOS,DFW,2016-09-01 08:00:00,2016-09-01 12:17:00,1562.0
2251-BOS-DFW,BOS,DFW,2016-09-01 10:00:00,2016-09-01 14:18:00,1562.0
2253-BOS-ORD,BOS,ORD,2016-09-01 10:05:00,2016-09-01 12:57:00,867.0
2378-BOS-PHX,BOS,PHX,2016-09-01 06:10:00,2016-09-01 12:08:00,2300.0
2454-BOS-MIA,BOS,MIA,2016-09-01 05:00:00,2016-09-01 08:24:00,1258.0
2552-BOS-DFW,BOS,DFW,2016-09-01 16:06:00,2016-09-01 20:25:00,1562.0
421-BOS-PHL,BOS,PHL,2016-09-01 08:59:00,2016-09-01 10:29:00,280.0
1707-BOS-PHL,BOS,PHL,2016-09-01 05:00:00,2016-09-01 06:25:00,280.0
1787-BOS-CLT,BOS,CLT,2016-09-01 14:39:00,2016-09-01 17:04:00,728.0
1788-BOS-CLT,BOS,CLT,2016-09-01 19:18:00,2016-09-01 21:44:00,728.0
1805-BOS-CLT,BOS,CLT,2016-09-01 09:35:00,2016-09-01 11:59:00,728.0
1879-BOS-CLT,BOS,CLT,2016-09-01 12:50:00,2016-09-01 15:15:00,728.0
1907-BOS-PHX,BOS,PHX,2016-09-01 19:15:00,2016-09-02 01:00:00,2300.0
1925-BOS-CLT,BOS,CLT,2016-09-01 06:09:00,2016-09-01 08:34:00,728.0
2068-BOS-CLT,BOS,CLT,2016-09-01 11:00:00,2016-09-01 13:26:00,728.0
2116-BOS-DCA,BOS,DCA,2016-09-01 20:00:00,2016-09-01 21:41:00,399.0
2118-BOS-LGA,BOS,LGA,2016-09-01 18:00:00,2016-09-01 19:27:00,184.0
